# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_S14_mechR_ar1p0_seis0-15.ini
# Process start: 2015-11-04T09:22:15.333137
# Process finish: 2015-11-04T09:39:26.019216
# rup_dim_model = S14, mech = R, LW = False, AR = 1.0, ndip = 7, mindip = 0.523599, maxdip = 1.047198, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000425,0.000335,0.000263,0.000208,0.000166,0.000137,0.000118,0.000107,0.000102,0.000101,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100
0.125893,0.000807,0.000642,0.000506,0.000398,0.000315,0.000253,0.000210,0.000182,0.000168,0.000161,0.000160,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159
0.158489,0.001516,0.001223,0.000971,0.000765,0.000601,0.000476,0.000385,0.000322,0.000283,0.000263,0.000255,0.000253,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252
0.199526,0.002799,0.002305,0.001853,0.001468,0.001155,0.000909,0.000722,0.000586,0.000494,0.000440,0.000413,0.000403,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400
0.251189,0.005045,0.004278,0.003503,0.002806,0.002219,0.001744,0.001374,0.001095,0.000895,0.000762,0.000686,0.000651,0.000639,0.000636,0.000636,0.000636,0.000636,0.000636,0.000636,0.000636,0.000636
0.316228,0.008790,0.007764,0.006529,0.005319,0.004246,0.003351,0.002634,0.002078,0.001663,0.001368,0.001179,0.001077,0.001037,0.001026,0.001024,0.001024,0.001024,0.001024,0.001024,0.001024,0.001024
0.398107,0.014605,0.013658,0.011925,0.009953,0.008069,0.006423,0.005062,0.003979,0.003145,0.002528,0.002101,0.001844,0.001724,0.001686,0.001679,0.001679,0.001679,0.001679,0.001679,0.001679,0.001679
0.501187,0.022776,0.022997,0.021164,0.018283,0.015155,0.012233,0.009713,0.007645,0.006011,0.004764,0.003860,0.003272,0.002960,0.002842,0.002814,0.002812,0.002811,0.002811,0.002811,0.002811,0.002811
0.630957,0.032809,0.036489,0.036079,0.032715,0.027986,0.023052,0.018533,0.014681,0.011548,0.009090,0.007246,0.005980,0.005247,0.004929,0.004839,0.004826,0.004825,0.004825,0.004825,0.004825,0.004825
0.794328,0.043240,0.053684,0.058184,0.056404,0.050453,0.042776,0.035031,0.028062,0.022186,0.017446,0.013787,0.011170,0.009557,0.008781,0.008521,0.008470,0.008466,0.008466,0.008466,0.008466,0.008466
1.000000,0.052204,0.072436,0.087385,0.092376,0.087900,0.077643,0.065290,0.053186,0.042464,0.033519,0.026422,0.021182,0.017783,0.015996,0.015310,0.015144,0.015125,0.015124,0.015124,0.015124,0.015124
1.258925,0.058378,0.089257,0.120578,0.141462,0.146050,0.136580,0.119250,0.099532,0.080694,0.064248,0.050772,0.040511,0.033574,0.029677,0.028013,0.027528,0.027448,0.027443,0.027443,0.027443,0.027443
1.584893,0.062044,0.101471,0.151769,0.199461,0.227764,0.229975,0.211644,0.182831,0.151552,0.122352,0.097399,0.077778,0.064039,0.055890,0.052056,0.050746,0.050468,0.050443,0.050443,0.050443,0.050443
1.995262,0.064247,0.109033,0.175814,0.256791,0.328092,0.364895,0.360792,0.327146,0.279860,0.230557,0.185810,0.149222,0.122701,0.106217,0.097831,0.094598,0.093765,0.093654,0.093648,0.093648,0.093648
2.511886,0.065700,0.113435,0.191280,0.303586,0.432401,0.536837,0.581835,0.564041,0.504536,0.427824,0.351148,0.284952,0.235065,0.202774,0.185319,0.177860,0.175570,0.175152,0.175122,0.175122,0.175122
3.162278,0.066738,0.116269,0.200098,0.334748,0.522043,0.724357,0.873849,0.923763,0.878998,0.776510,0.654247,0.539388,0.448475,0.387264,0.352365,0.336022,0.330253,0.328947,0.328816,0.328812,0.328812
3.981072,0.067497,0.118271,0.205667,0.352561,0.583781,0.892570,1.205776,1.414622,1.460494,1.365876,1.194404,1.007657,0.848600,0.736333,0.669197,0.635441,0.622162,0.618579,0.618063,0.618035,0.618035
5.011872,0.068061,0.119728,0.209535,0.363613,0.620435,1.014713,1.517689,1.994609,2.277626,2.299663,2.118402,1.846583,1.584704,1.387664,1.264109,1.198234,1.169648,1.160607,1.158904,1.158796,1.158797
6.309573,0.068486,0.120806,0.212334,0.371100,0.642469,1.090328,1.758144,2.567908,3.280872,3.648241,3.607373,3.292327,2.902885,2.578520,2.362805,2.240992,2.183564,2.163182,2.158660,2.158283,2.158277
7.943282,0.068810,0.121617,0.214399,0.376486,0.657002,1.134355,1.912796,3.035861,4.323885,5.365794,5.806753,5.644182,5.170624,4.689295,4.339392,4.129324,4.023595,3.982761,3.972425,3.971259,3.971272
