# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_WC94_mechA_ar1p0_seis0-20.ini
# Process start: 2015-11-03T08:49:11.116515
# Process finish: 2015-11-03T09:35:17.822405
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.090285,0.074196,0.061762,0.052288,0.045108,0.039832,0.036297,0.034131,0.032798,0.031925,0.031367,0.031071,0.030963,0.030941,0.030940,0.030940,0.030940,0.030940,0.030940,0.030940,0.030940
0.125893,0.107920,0.088111,0.072512,0.060481,0.051310,0.044365,0.039308,0.035964,0.033933,0.032677,0.031881,0.031452,0.031295,0.031263,0.031261,0.031261,0.031261,0.031261,0.031261,0.031261,0.031261
0.158489,0.129280,0.105277,0.086029,0.070898,0.059243,0.050359,0.043650,0.038806,0.035653,0.033753,0.032614,0.031999,0.031767,0.031719,0.031716,0.031716,0.031716,0.031716,0.031716,0.031716,0.031716
0.199526,0.154874,0.126098,0.102729,0.084018,0.069334,0.058035,0.049437,0.042960,0.038337,0.035380,0.033661,0.032778,0.032446,0.032376,0.032372,0.032372,0.032372,0.032372,0.032372,0.032372,0.032372
0.251189,0.185327,0.151072,0.123011,0.100251,0.082057,0.067808,0.056863,0.048542,0.042305,0.037919,0.035224,0.033870,0.033376,0.033270,0.033262,0.033262,0.033262,0.033262,0.033262,0.033262,0.033262
0.316228,0.221316,0.180820,0.147374,0.120008,0.097833,0.080143,0.066321,0.055721,0.047681,0.041699,0.037653,0.035471,0.034663,0.034489,0.034474,0.034474,0.034474,0.034474,0.034474,0.034474,0.034474
0.398107,0.263514,0.216011,0.176430,0.143772,0.117069,0.095466,0.078271,0.064869,0.054618,0.046874,0.041289,0.037908,0.036485,0.036139,0.036104,0.036103,0.036103,0.036103,0.036103,0.036103,0.036103
0.501187,0.312531,0.257315,0.210824,0.172134,0.140238,0.114195,0.093155,0.076440,0.063466,0.053585,0.046307,0.041524,0.039135,0.038373,0.038255,0.038248,0.038248,0.038248,0.038248,0.038248,0.038248
0.630957,0.368850,0.305361,0.251246,0.205751,0.167927,0.136795,0.111398,0.090892,0.074668,0.062138,0.052826,0.046517,0.042967,0.041496,0.041111,0.041062,0.041061,0.041061,0.041061,0.041061,0.041061
0.794328,0.432562,0.360662,0.298338,0.245310,0.200790,0.163830,0.133448,0.108655,0.088696,0.072983,0.061146,0.053006,0.048175,0.045809,0.044927,0.044718,0.044697,0.044697,0.044697,0.044697,0.044697
