# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_WC94_mechR_ar1p7_seis0-20.ini
# Process start: 2015-11-03T11:25:39.395881
# Process finish: 2015-11-03T11:36:08.712908
# rup_dim_model = WC94, mech = R, LW = False, AR = 1.7, ndip = 4, mindip = 0.610865, maxdip = 0.872665, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.071898,0.054727,0.041843,0.032223,0.025120,0.020124,0.016857,0.014792,0.013592,0.013084,0.012966,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.125893,0.089985,0.068376,0.052093,0.039870,0.030746,0.024066,0.019429,0.016409,0.014512,0.013457,0.013046,0.012961,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.158489,0.112649,0.085573,0.065068,0.049592,0.037980,0.029349,0.023076,0.018771,0.015991,0.014260,0.013339,0.013015,0.012959,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.199526,0.140967,0.107107,0.081372,0.061887,0.047193,0.036192,0.028037,0.022149,0.018155,0.015597,0.014030,0.013245,0.012993,0.012957,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.251189,0.176254,0.134035,0.101840,0.077375,0.058850,0.044919,0.034512,0.026794,0.021270,0.017586,0.015241,0.013830,0.013167,0.012978,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.316228,0.219986,0.167642,0.127457,0.096807,0.073536,0.055956,0.042763,0.032906,0.025619,0.020457,0.017066,0.014921,0.013661,0.013107,0.012968,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.398107,0.273308,0.209333,0.159411,0.121166,0.092025,0.069917,0.053239,0.040735,0.031393,0.024523,0.019732,0.016608,0.014649,0.013567,0.013151,0.013067,0.013062,0.013062,0.013062,0.013062,0.013062
0.501187,0.335998,0.260447,0.199165,0.151607,0.115210,0.087498,0.066522,0.050693,0.038809,0.029961,0.023509,0.019063,0.016244,0.014623,0.013889,0.013692,0.013672,0.013671,0.013671,0.013671,0.013671
0.630957,0.405742,0.321167,0.248095,0.189465,0.144162,0.109536,0.083217,0.063283,0.048243,0.036971,0.028610,0.022560,0.018543,0.016272,0.015283,0.015002,0.014960,0.014959,0.014959,0.014959,0.014959
0.794328,0.478790,0.389629,0.306729,0.236236,0.180223,0.137076,0.104141,0.079128,0.060185,0.045915,0.035247,0.027351,0.021791,0.018491,0.017075,0.016706,0.016658,0.016656,0.016656,0.016656,0.016656
1.000000,0.551544,0.462268,0.373717,0.292732,0.224873,0.171411,0.130348,0.099022,0.075218,0.057221,0.043708,0.033620,0.026309,0.021643,0.019458,0.018862,0.018791,0.018789,0.018789,0.018789,0.018789
1.258925,0.621144,0.535343,0.445753,0.358057,0.279181,0.214013,0.163022,0.123913,0.094115,0.071496,0.054424,0.041632,0.032280,0.026079,0.022875,0.021810,0.021634,0.021625,0.021625,0.021625,0.021625
1.584893,0.685171,0.605852,0.519007,0.429301,0.342711,0.266100,0.203620,0.155027,0.117823,0.089481,0.068001,0.051825,0.039880,0.031773,0.027322,0.025653,0.025306,0.025283,0.025283,0.025283,0.025283
1.995262,0.741750,0.671343,0.590332,0.502594,0.412959,0.327710,0.253524,0.193726,0.147424,0.112019,0.085098,0.064724,0.049591,0.039162,0.033177,0.030665,0.029993,0.029908,0.029905,0.029905,0.029905
2.511886,0.790023,0.729738,0.657179,0.574609,0.486122,0.396769,0.313098,0.241434,0.184281,0.140178,0.106506,0.080942,0.061906,0.048665,0.040802,0.037182,0.036015,0.035797,0.035784,0.035784,0.035784
3.162278,0.830243,0.779890,0.717311,0.642679,0.558685,0.469612,0.380761,0.298899,0.229864,0.175274,0.133290,0.101298,0.077367,0.060615,0.050502,0.045571,0.043747,0.043305,0.043261,0.043260,0.043260
3.981072,0.863313,0.821854,0.769340,0.704464,0.627843,0.542566,0.453086,0.364987,0.285138,0.218780,0.166708,0.126776,0.096806,0.075789,0.062952,0.056416,0.053667,0.052817,0.052668,0.052660,0.052660
5.011872,0.890271,0.856442,0.813090,0.758363,0.691198,0.612682,0.526279,0.436598,0.349497,0.271853,0.208177,0.158565,0.121179,0.094830,0.078595,0.070111,0.066252,0.064855,0.064544,0.064520,0.064520
6.309573,0.912114,0.884685,0.849250,0.803940,0.746957,0.677531,0.597255,0.509897,0.420205,0.334331,0.259050,0.198123,0.151623,0.118727,0.098378,0.087562,0.082372,0.080209,0.079577,0.079486,0.079482
7.943282,0.929734,0.907597,0.878830,0.841725,0.794395,0.735128,0.663516,0.581623,0.493451,0.403942,0.319544,0.246820,0.189492,0.148572,0.123167,0.109557,0.102784,0.099663,0.098565,0.098342,0.098328
10.000000,0.943899,0.926096,0.902858,0.872694,0.833855,0.784445,0.722885,0.649165,0.565786,0.476954,0.387849,0.305238,0.236310,0.185780,0.154200,0.137185,0.128530,0.124276,0.122556,0.122107,0.122059
12.589254,0.955258,0.940978,0.922276,0.897885,0.866266,0.825628,0.774081,0.710225,0.634478,0.549752,0.460432,0.372078,0.292907,0.231889,0.192955,0.171886,0.161065,0.155495,0.152947,0.152109,0.151956
15.848932,0.964347,0.952917,0.937909,0.918264,0.892670,0.859534,0.817032,0.763295,0.697146,0.619459,0.533533,0.444057,0.358488,0.288076,0.241124,0.215247,0.201842,0.194753,0.191250,0.189917,0.189607
19.952623,0.971609,0.962475,0.950457,0.934683,0.914052,0.887200,0.852487,0.808055,0.752080,0.683652,0.604137,0.517354,0.430094,0.353827,0.299870,0.268889,0.252556,0.243773,0.239195,0.237187,0.236580
25.118864,0.977404,0.970114,0.960507,0.947871,0.931295,0.909632,0.881466,0.845111,0.798687,0.740436,0.669785,0.588763,0.503510,0.425364,0.366714,0.330916,0.311314,0.300620,0.294853,0.292074,0.291075
31.622777,0.982024,0.976212,0.968542,0.958437,0.945152,0.927735,0.904992,0.875457,0.837396,0.788918,0.728378,0.655711,0.575086,0.497247,0.435357,0.395089,0.371973,0.359107,0.352008,0.348383,0.346880
39.810717,0.985704,0.981074,0.974958,0.966888,0.956261,0.942294,0.923997,0.900125,0.869160,0.829329,0.778739,0.715972,0.642453,0.566443,0.501424,0.456132,0.428927,0.413521,0.404931,0.400350,0.398224
50.118723,0.988633,0.984947,0.980074,0.973638,0.965149,0.953972,0.939292,0.920071,0.895018,0.862565,0.820899,0.768149,0.703476,0.631313,0.563653,0.512560,0.480389,0.461877,0.451460,0.445759,0.442931
63.095734,0.990964,0.988031,0.984151,0.979022,0.972249,0.963319,0.951566,0.936136,0.915950,0.889663,0.855659,0.812042,0.756654,0.690205,0.621491,0.564611,0.526609,0.504306,0.491691,0.484693,0.481034
79.432823,0.992818,0.990485,0.987397,0.983313,0.977915,0.970788,0.961394,0.949036,0.932821,0.911623,0.884048,0.848355,0.801869,0.742424,0.674792,0.612988,0.568576,0.541627,0.526273,0.517674,0.513029
100.000000,0.994293,0.992438,0.989981,0.986730,0.982431,0.976749,0.969251,0.959370,0.946377,0.929339,0.907082,0.878083,0.839635,0.787818,0.723459,0.658391,0.607452,0.574959,0.556218,0.545650,0.539826
125.892541,0.995465,0.993990,0.992036,0.989450,0.986028,0.981502,0.975523,0.967634,0.957242,0.943582,0.925681,0.902243,0.870760,0.826554,0.767218,0.701090,0.644246,0.605510,0.582575,0.569570,0.562323
158.489319,0.996397,0.995224,0.993671,0.991614,0.988891,0.985288,0.980525,0.974233,0.965933,0.955003,0.940645,0.921774,0.896186,0.859186,0.806196,0.741468,0.679945,0.634480,0.606410,0.590352,0.581318
199.526231,0.997137,0.996205,0.994971,0.993335,0.991169,0.988303,0.984510,0.979496,0.972875,0.964144,0.952650,0.937501,0.916815,0.886252,0.840151,0.779007,0.714814,0.662826,0.628771,0.608914,0.597694
251.188643,0.997725,0.996985,0.996004,0.994704,0.992982,0.990701,0.987683,0.983691,0.978414,0.971447,0.962262,0.950129,0.933470,0.908470,0.869284,0.813489,0.749041,0.691385,0.650682,0.626132,0.612162
316.227766,0.998193,0.997605,0.996825,0.995792,0.994423,0.992609,0.990208,0.987031,0.982828,0.977274,0.969944,0.960243,0.946869,0.926563,0.893844,0.844489,0.782259,0.720580,0.673011,0.642823,0.625416
398.107171,0.998565,0.998097,0.997477,0.996656,0.995568,0.994127,0.992217,0.989689,0.986344,0.981921,0.976076,0.968330,0.957617,0.941208,0.914231,0.871677,0.813707,0.750258,0.696355,0.659748,0.638072
501.187234,0.998860,0.998488,0.997996,0.997343,0.996479,0.995333,0.993815,0.991805,0.989143,0.985622,0.980965,0.974788,0.966222,0.953013,0.930973,0.895081,0.842935,0.780280,0.721254,0.677689,0.650774
630.957344,0.999094,0.998799,0.998408,0.997889,0.997202,0.996292,0.995085,0.993487,0.991370,0.988568,0.984861,0.979938,0.973099,0.962496,0.944609,0.914797,0.869207,0.809663,0.747554,0.697214,0.664170
794.328235,0.999280,0.999046,0.998735,0.998323,0.997777,0.997054,0.996095,0.994824,0.993141,0.990912,0.987962,0.984043,0.978588,0.970096,0.955650,0.931164,0.892283,0.837744,0.775035,0.718781,0.678919
1000.000000,0.999428,0.999242,0.998995,0.998668,0.998234,0.997659,0.996897,0.995887,0.994549,0.992777,0.990431,0.987311,0.982964,0.976175,0.964551,0.944601,0.912060,0.863698,0.802937,0.742468,0.695587
