# Process start: 2015-11-02T21:39:56.932481
# Process finish: 2015-11-03T00:12:32.355497
# rup_dim_model = S14, mech = N, LW = False, AR = 1.0, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,17.231543,16.688740,15.967824,15.020233,13.796510,12.262342,10.434084,8.444815,6.629745,5.524950,5.525762,6.410837,7.417817,7.988131,8.151231,8.164893,8.165068,8.165068,8.165068,8.165068,8.165068
0.125893,17.228084,16.685882,15.965509,15.018425,13.795185,12.261478,10.433657,8.444791,6.630064,5.525500,5.526354,6.411260,7.417964,7.988082,8.151112,8.164769,8.164943,8.164943,8.164943,8.164943,8.164943
0.158489,17.222495,16.681279,15.961787,15.015525,13.793063,12.260095,10.432972,8.444748,6.630569,5.526393,5.527390,6.412176,7.418622,7.988546,8.151508,8.165159,8.165333,8.165333,8.165333,8.165333,8.165333
0.199526,17.213454,16.673847,15.955794,15.010863,13.789655,12.257875,10.431869,8.444669,6.631366,5.527831,5.529147,6.413932,7.420196,7.989966,8.152870,8.166516,8.166689,8.166689,8.166689,8.166689,8.166689
0.251189,17.198820,16.661832,15.946123,15.003353,13.784172,12.254303,10.430088,8.444526,6.632618,5.530113,5.532005,6.416971,7.423201,7.992905,8.155781,8.169425,8.169598,8.169598,8.169598,8.169598,8.169598
0.316228,17.175195,16.642397,15.930494,14.991232,13.775329,12.248537,10.427199,8.444260,6.634576,5.533678,5.536442,6.421701,7.427960,7.997644,8.160513,8.174156,8.174329,8.174329,8.174329,8.174329,8.174329
0.398107,17.137295,16.611017,15.905222,14.971634,13.761031,12.239205,10.422492,8.443755,6.637629,5.539293,5.543411,6.429015,7.435128,8.004635,8.167437,8.181074,8.181247,8.181247,8.181247,8.181247,8.181247
0.501187,17.077141,16.560634,15.864417,14.939933,13.737880,12.224062,10.414794,8.442801,6.642371,5.548152,5.554421,6.440453,7.446107,8.015155,8.177782,8.191403,8.191576,8.191576,8.191576,8.191576,8.191576
0.630957,16.982998,16.480564,15.798883,14.888720,13.700363,12.199435,10.402147,8.440990,6.649687,5.562034,5.571729,6.458510,7.463574,8.032006,8.194402,8.208005,8.208176,8.208176,8.208176,8.208176,8.208176
0.794328,16.838213,16.355209,15.694726,14.806436,13.639658,12.159348,10.381307,8.437555,6.660891,5.583754,5.599016,6.487248,7.491750,8.059480,8.221617,8.235202,8.235374,8.235374,8.235374,8.235374,8.235374
1.000000,16.620207,16.162732,15.531818,14.675663,13.541968,12.094175,10.346890,8.431055,6.677877,5.617600,5.641784,6.532375,7.536055,8.102790,8.264620,8.278224,8.278400,8.278400,8.278400,8.278400,8.278400
1.258925,16.300553,15.874340,15.282467,14.471401,13.386571,11.988803,10.290080,8.418837,6.703317,5.670122,5.708711,6.603353,7.606212,8.171854,8.333473,8.347187,8.347379,8.347379,8.347379,8.347379,8.347379
1.584893,15.846376,15.455552,14.911589,14.160223,13.144236,11.820699,10.196930,8.396183,6.740849,5.751198,5.813268,6.715117,7.717574,8.282194,8.443883,8.457947,8.458227,8.458234,8.458234,8.458234,8.458234
1.995262,15.223148,14.869596,14.379897,13.702024,12.777402,11.558798,10.046714,8.355119,6.795149,5.875391,5.975760,6.890109,7.892978,8.456889,8.619430,8.634481,8.635054,8.635085,8.635086,8.635086,8.635086
2.511886,14.399345,14.083159,13.650476,13.056030,12.244287,11.165311,9.811682,8.283449,6.871859,6.063820,6.227229,7.163973,8.169790,8.734174,8.898954,8.915979,8.917201,8.917326,8.917331,8.917331,8.917331
3.162278,13.353260,13.073955,12.698252,12.191564,11.508449,10.602670,9.460625,8.165263,6.977307,6.345535,6.613371,7.591375,8.606529,9.174123,9.343391,9.364251,9.367133,9.367681,9.367721,9.367721,9.367721
3.981072,12.082288,11.839639,11.520137,11.101257,10.554075,9.846656,8.968008,7.984880,7.118451,6.757583,7.198037,8.252581,9.290592,9.866822,10.044393,10.072190,10.078399,10.079898,10.080036,10.080039,10.080039
