# Process start: 2015-11-01T08:42:57.490581
# Process finish: 2015-11-01T18:58:54.309682
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,32.195766,31.294514,30.152736,28.728581,26.993282,24.953822,22.693431,20.437198,18.631925,17.875957,18.116703,17.865526,16.369621,15.942962,17.495229,19.618069,21.191824,22.364941,23.294381,24.122007,24.868446
0.125893,32.192461,31.291774,30.150490,28.726763,26.991836,24.952700,22.692587,20.436582,18.631478,17.875609,18.116355,17.865086,16.369059,15.942266,17.494374,19.617066,21.190709,22.363741,23.293117,24.120692,24.867093
0.158489,32.187221,31.287408,30.146899,28.723856,26.989525,24.950909,22.691243,20.435609,18.630779,17.875077,18.115883,17.864602,16.368517,15.941594,17.493498,19.615988,21.189478,22.362394,23.291680,24.119185,24.865534
0.199526,32.178928,31.280473,30.141170,28.719205,26.985829,24.948046,22.689097,20.434060,18.629676,17.874254,18.115208,17.864033,16.368018,15.940992,17.492630,19.614830,21.188102,22.360854,23.290014,24.117419,24.863694
0.251189,32.165808,31.269476,30.132057,28.711779,26.979916,24.943466,22.685667,20.431586,18.627923,17.872961,18.114215,17.863331,16.367564,15.940498,17.491778,19.613556,21.186508,22.359018,23.287993,24.115251,24.861417
0.316228,32.145057,31.252044,30.117582,28.699950,26.970464,24.936133,22.680177,20.427628,18.625122,17.870919,18.112753,17.862523,16.367336,15.940308,17.491102,19.612253,21.184731,22.356883,23.285583,24.112624,24.858628
0.398107,32.112234,31.224410,30.094597,28.681136,26.955391,24.924406,22.671384,20.421292,18.620640,17.867665,18.110511,17.861522,16.367467,15.940622,17.490717,19.610916,21.182675,22.354284,23.282567,24.109278,24.855037
0.501187,32.060318,31.180599,30.058097,28.651223,26.931394,24.905689,22.657312,20.411137,18.613459,17.862469,18.107026,17.860197,16.368151,15.941756,17.490818,19.609548,21.180201,22.350973,23.278614,24.104819,24.850199
0.630957,31.978239,31.111162,30.000149,28.603677,26.893221,24.875881,22.634847,20.394880,18.601942,17.854127,18.101469,17.858287,16.369718,15.944262,17.491821,19.608283,21.177220,22.346697,23.273343,24.098763,24.843556
0.794328,31.848678,31.001232,29.908235,28.528171,26.832553,24.828485,22.599093,20.368941,18.583508,17.840699,18.092270,17.854746,16.371958,15.948518,17.494108,19.607162,21.173411,22.340860,23.265951,24.090142,24.834019
1.000000,31.645137,30.827670,29.762775,28.408506,26.736324,24.753284,22.542361,20.327753,18.554151,17.819210,18.077416,17.848643,16.374926,15.955051,17.498260,19.606444,21.168552,22.332820,23.255470,24.077736,24.820176
1.258925,31.329035,30.555360,29.533593,28.219593,26.584253,24.634410,22.452720,20.262731,18.507789,17.785102,18.053660,17.838770,16.379356,15.965032,17.504835,19.606048,21.162084,22.321361,23.240168,24.059404,24.799583
1.584893,30.848465,30.133865,29.175509,27.923338,26.345400,24.447626,22.311985,20.160886,18.435379,17.731706,18.015800,17.822444,16.385947,15.980497,17.514746,19.605398,21.152669,22.304498,23.217245,24.031700,24.768312
1.995262,30.140213,29.497257,28.624931,27.463832,25.973785,24.156813,22.093137,20.003114,18.323914,17.648110,17.951432,17.786032,16.383388,15.991847,17.516962,19.589990,21.123393,22.263935,23.167158,23.973793,24.704569
2.511886,29.135171,28.570006,27.801875,26.764597,25.403835,23.709990,21.757414,19.762450,18.155824,17.521038,17.847486,17.717622,16.364481,15.994467,17.505329,19.549777,21.060462,22.183260,23.071962,23.866280,24.587637
3.162278,27.766377,27.278276,26.621854,25.734261,24.549336,23.036060,21.251836,19.402930,17.909358,17.341607,17.710579,17.642323,16.368362,16.032060,17.522265,19.524975,21.001747,22.098041,22.965929,23.742746,24.450187
3.981072,25.980143,25.564037,25.015803,24.287039,23.314503,22.046883,20.508835,18.880357,17.561029,17.102856,17.549941,17.588347,16.440219,16.155955,17.616054,19.558432,20.986482,22.043475,22.880418,23.632143,24.319836
5.011872,23.752447,23.401432,22.951676,22.373810,21.625161,20.654863,19.452531,18.146487,17.091967,16.812475,17.402589,17.626643,16.678594,16.474260,17.890965,19.747179,21.106122,22.106883,22.898498,23.614301,24.274824
6.309573,21.108312,20.815520,20.453202,20.009830,19.470981,18.813881,18.020973,17.158633,16.497482,16.504873,17.344027,17.878685,17.241665,17.157591,18.511979,20.245374,21.507602,22.430538,23.158221,23.821902,24.444067
7.943282,18.138374,17.898409,17.614069,17.288744,16.933873,16.568044,16.209618,15.898471,15.794820,16.256551,17.519545,18.563696,18.407696,18.505773,19.773303,21.334261,22.461442,23.276603,23.915052,24.503908,25.069537
