# Process start: 2015-11-02T08:02:17.218900
# Process finish: 2015-11-02T10:20:54.938128
# rup_dim_model = WC94, mech = R, LW = False, AR = 1.7, ndip = 4, mindip = 0.610865, maxdip = 0.872665, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,31.701263,31.094553,30.282228,29.199596,27.769507,25.908832,23.547491,20.671910,17.407436,14.135947,11.574921,10.681536,12.037943,14.846959,17.227259,18.227201,18.422158,18.432782,18.432782,18.432782,18.432782
0.125893,31.697621,31.091474,30.279660,29.197513,27.767887,25.907648,23.546718,20.671526,17.407405,14.136200,11.575365,10.682036,12.038249,14.846735,17.226340,18.225976,18.420848,18.431465,18.431465,18.431465,18.431465
0.158489,31.691771,31.086539,30.275553,29.194185,27.765302,25.905765,23.545493,20.670914,17.407350,14.136608,11.576088,10.682871,12.038879,14.846755,17.225569,18.224849,18.419624,18.430233,18.430233,18.430233,18.430233
0.199526,31.682367,31.078621,30.268974,29.188866,27.761173,25.902759,23.543543,20.669942,17.407257,14.137250,11.577247,10.684247,12.040060,14.847268,17.225212,18.224093,18.418755,18.429357,18.429357,18.429357,18.429357
0.251189,31.667234,31.065903,30.258428,29.180350,27.754570,25.897957,23.540430,20.668393,17.407108,14.138260,11.579080,10.686480,12.042167,14.848698,17.225737,18.224189,18.418731,18.429323,18.429323,18.429323,18.429323
0.316228,31.642898,31.045467,30.241503,29.166695,27.743994,25.890270,23.535446,20.665913,17.406863,14.139854,11.581976,10.690065,12.045789,14.851748,17.227945,18.225977,18.420394,18.430977,18.430977,18.430977,18.430977
0.398107,31.603911,31.012636,30.214326,29.144783,27.727028,25.877940,23.527449,20.661921,17.406446,14.142374,11.586559,10.695788,12.051856,14.857557,17.233181,18.230870,18.425177,18.435751,18.435751,18.435751,18.435751
0.501187,31.542028,30.960067,30.170714,29.109599,27.699775,25.858131,23.514592,20.655468,17.405705,14.146335,11.593813,10.704825,12.061538,14.867299,17.242843,18.240343,18.434578,18.445146,18.445146,18.445146,18.445146
0.630957,31.445128,30.876589,30.100928,29.053142,27.655979,25.826269,23.493870,20.645003,17.404374,14.152512,11.605262,10.719028,12.076413,14.881632,17.256370,18.253681,18.447907,18.458476,18.458476,18.458476,18.458476
0.794328,31.295487,30.745812,29.990135,28.962808,27.585647,25.774961,23.460404,20.627976,17.401957,14.162093,11.623280,10.741514,12.099825,14.903372,17.275553,18.271814,18.465782,18.476334,18.476334,18.476334,18.476334
1.000000,31.067160,30.544100,29.816604,28.819353,27.472991,25.692368,23.406277,20.600144,17.397510,14.176843,11.651527,10.776995,12.137081,14.938583,17.307470,18.301937,18.495388,18.505903,18.505903,18.505903,18.505903
1.258925,30.723141,30.237410,29.549358,28.594607,27.293825,25.559700,23.318621,20.554435,17.389225,14.199304,11.695616,10.832709,12.195859,14.994701,17.359342,18.351859,18.544823,18.555305,18.555305,18.555305,18.555305
1.584893,30.213821,29.777935,29.144799,28.249038,27.012871,25.348035,23.176872,20.479161,17.373697,14.233026,11.764104,10.919942,12.288152,15.083155,17.441684,18.431078,18.623221,18.633649,18.633649,18.633649,18.633649
1.995262,29.478617,29.103510,28.543808,27.729204,26.581953,25.015660,22.949367,20.355282,17.344661,14.282808,11.869844,11.056121,12.432915,15.222603,17.572481,18.557917,18.749141,18.759513,18.759513,18.759513,18.759513
