# Process start: 2015-11-02T10:20:55.531858
# Process finish: 2015-11-02T11:55:27.201275
# rup_dim_model = WC94, mech = SS, LW = False, AR = 1.7, ndip = 4, mindip = 1.308997, maxdip = 1.570796, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,37.847347,36.723888,35.297593,33.499782,31.255800,28.493103,25.158835,21.254597,16.900691,12.434386,8.327865,4.598644,2.005815,1.194040,1.142051,1.143654,1.143654,1.143654,1.143654,1.143654,1.143654
0.125893,37.839524,36.717069,35.291762,33.494847,31.251615,28.489544,25.155831,21.252123,16.898754,12.433024,8.327194,4.598838,2.006742,1.195291,1.143363,1.144968,1.144968,1.144968,1.144968,1.144968,1.144968
0.158489,37.827885,36.706695,35.282684,33.487045,31.244976,28.483908,25.151078,21.248207,16.895689,12.430869,8.326132,4.599176,2.008261,1.197331,1.145501,1.147111,1.147111,1.147111,1.147111,1.147111,1.147111
0.199526,37.810784,36.691146,35.268791,33.474855,31.234474,28.474972,25.143554,21.242012,16.890841,12.427459,8.324454,4.599730,2.010673,1.200568,1.148895,1.150511,1.150511,1.150511,1.150511,1.150511,1.150511
0.251189,37.785943,36.668110,35.247825,33.456100,31.218020,28.460833,25.131635,21.232213,16.883176,12.422066,8.321799,4.600592,2.014467,1.205666,1.154239,1.155867,1.155867,1.155867,1.155867,1.155867,1.155867
0.316228,37.750121,36.634331,35.216524,33.427627,31.192594,28.438641,25.112786,21.216708,16.871059,12.413544,8.317605,4.602007,2.020579,1.213852,1.162822,1.164468,1.164468,1.164468,1.164468,1.164468,1.164468
0.398107,37.698510,36.585150,35.170240,33.384839,31.153808,28.404251,25.083182,21.192214,16.851915,12.400088,8.310984,4.604234,2.030206,1.226756,1.176352,1.178027,1.178027,1.178027,1.178027,1.178027,1.178027
0.501187,37.623807,36.513683,35.102315,33.321156,31.095251,28.351627,25.037240,21.153764,16.821719,12.378861,8.300540,4.607799,2.045475,1.247213,1.197804,1.199526,1.199526,1.199526,1.199526,1.199526,1.199526
0.630957,37.514870,36.409588,35.003011,33.227195,31.007750,28.271990,24.966868,21.094110,16.774393,12.345447,8.284081,4.613453,2.069625,1.279560,1.231729,1.233526,1.233526,1.233526,1.233526,1.233526,1.233526
0.794328,37.354835,36.257359,34.857959,33.089467,30.878394,28.152902,24.860428,21.002864,16.701128,12.293206,8.258170,4.622288,2.107516,1.330351,1.285012,1.286929,1.286929,1.286929,1.286929,1.286929,1.286929
1.000000,37.118425,36.034044,34.646134,32.888574,30.689079,27.977211,24.701728,20.865383,16.589551,12.212671,8.217592,4.635975,2.166782,1.409866,1.368466,1.370576,1.370576,1.370576,1.370576,1.370576,1.370576
1.258925,36.768286,35.706142,34.337300,32.597024,30.414662,27.721709,24.469165,20.661927,16.422841,12.091060,8.154913,4.656450,2.257947,1.532718,1.497549,1.499979,1.499979,1.499979,1.499979,1.499979,1.499979
1.584893,36.251078,35.225532,33.888725,32.176665,30.020928,27.355629,24.134953,20.367494,16.179552,11.912200,8.060407,4.687091,2.395861,1.719279,1.693878,1.696895,1.696901,1.696901,1.696901,1.696901,1.696901
1.995262,35.496202,34.525479,33.241115,31.575719,29.462581,26.839421,23.664746,19.952492,15.834994,11.657882,7.922197,4.715694,2.574844,1.967104,1.954859,1.958739,1.958766,1.958766,1.958766,1.958766,1.958766
2.511886,34.420851,33.521053,32.315365,30.725628,28.681575,26.124352,23.018398,19.384863,15.364829,11.312087,7.733537,4.731805,2.788883,2.271098,2.274329,2.279615,2.279864,2.279873,2.279873,2.279873,2.279873
3.162278,32.940978,32.119787,31.016252,29.539980,27.606481,25.153846,22.152937,18.634652,14.751669,10.869386,7.503777,4.783384,3.108007,2.709284,2.733515,2.741819,2.742770,2.742827,2.742827,2.742827,2.742827
3.981072,30.985033,30.241602,29.251393,27.923424,26.155485,23.867503,21.029086,17.682517,13.995640,10.348333,7.268272,4.915392,3.579904,3.329015,3.380248,3.394421,3.397890,3.398446,3.398461,3.398461,3.398461
5.011872,28.511081,27.841048,26.962952,25.800963,24.251569,22.209406,19.621686,16.533287,13.130005,9.809286,7.112828,5.229944,4.309383,4.233936,4.319730,4.345629,4.355120,4.357259,4.357397,4.357397,4.357397
6.309573,25.528868,24.928683,24.157439,23.161548,21.860939,20.147473,17.932030,15.232089,12.240733,9.375322,7.191284,5.887948,5.443527,5.566106,5.699477,5.745565,5.768137,5.776395,5.777543,5.777561,5.777561
7.943282,22.122175,21.591590,20.924826,20.090194,19.043271,17.712066,16.000667,13.871676,11.480934,9.250398,7.746501,7.151374,7.250572,7.606494,7.809569,7.892231,7.942600,7.964310,7.969371,7.969683,7.969683
10.000000,18.459136,18.002184,17.442808,16.769220,15.971927,15.036662,13.922565,12.573276,11.052068,9.715092,9.111585,9.384878,10.122761,10.781078,11.108804,11.264811,11.361489,11.415110,11.433949,11.435981,11.435985
12.589254,14.777053,14.400824,13.955735,13.447893,12.898654,12.349706,11.854317,11.437728,11.109410,11.049551,11.671267,13.030525,14.567087,15.670737,16.236064,16.524796,16.711503,16.830027,16.880077,16.891420,16.892064
15.848932,11.335863,11.047148,10.722777,10.384633,10.080287,9.898031,9.980101,10.506243,11.603584,13.313178,15.702248,18.585088,21.300993,23.192843,24.238198,24.813262,25.172119,25.398496,25.526011,25.565975,25.568795
19.952623,8.351996,8.152895,7.949616,7.777295,7.704476,7.855120,8.438235,9.772370,12.241009,16.056352,20.986546,26.309243,31.119922,34.591557,36.658578,37.810220,38.491799,38.942734,39.219664,39.334332,39.358509
25.118864,5.945002,5.830400,5.739369,5.717396,5.848481,6.281346,7.268841,9.218776,12.726592,18.437778,26.424441,35.647821,44.559506,51.389919,55.631097,57.994431,59.360181,60.201902,60.748749,61.046232,61.124727
31.622777,4.124732,4.083002,4.087356,4.190716,4.487506,5.141944,6.432502,8.816190,13.003145,19.965726,30.591724,44.928553,61.404968,75.421111,84.401132,89.343837,92.059077,93.673919,94.756440,95.402344,95.657511
39.810717,2.819546,2.835645,2.914736,3.114644,3.536254,4.352610,5.855649,8.527277,13.135180,20.818700,33.139654,52.622389,80.471807,108.172278,127.128770,137.570314,143.179643,146.396265,148.385283,149.727436,150.395129
50.118723,1.920950,1.979805,2.113530,2.382934,2.892544,3.819972,5.463450,8.316412,13.176168,21.276020,34.656429,58.899466,100.902468,150.419502,188.713669,210.905256,222.541416,228.931666,232.824015,235.420851,236.907353
63.095734,1.319740,1.408377,1.579742,1.896306,2.464367,3.463464,5.194234,8.154817,13.158010,21.494623,35.503829,63.368216,121.073277,202.201962,274.556440,320.445536,344.974520,358.156723,365.719396,370.562783,373.800302
79.432823,0.924697,1.032981,1.228876,1.575679,2.180378,3.222971,5.004568,8.024911,13.104794,21.570544,35.951377,66.340253,138.842656,259.355552,387.243272,479.710261,531.728280,559.071238,574.157448,583.626113,589.776281
100.000000,0.668022,0.788746,0.999971,1.365342,1.991980,3.059638,4.868905,7.919922,13.038522,21.573014,36.175997,68.229241,152.983085,318.866496,528.448512,703.976911,812.343782,869.884271,900.917704,918.875515,930.688283
125.892541,0.502187,0.630454,0.850826,1.227044,1.866157,2.947568,4.771237,7.837168,12.974268,21.544437,36.280819,69.426010,162.898497,372.214757,687.637476,1003.471295,1224.015658,1345.999525,1410.182218,1446.412643,1469.178512
158.489319,0.395580,0.528364,0.754145,1.136670,1.782876,2.871869,4.703100,7.775969,12.920227,21.507230,36.329721,70.237608,169.866867,417.500348,858.622378,1384.339571,1808.973309,2065.193984,2200.336214,2273.563288,2316.802890
