model\imt,SA10P0,SA7P5,SA5P0,SA4P0,SA3P0,SA2P0,SA1P5,SA1P0,SA0P75,SA0P5,SA0P4,SA0P3,SA0P25,SA0P2,SA0P15,SA0P1,SA0P075,SA0P05,SA0P04,SA0P03,SA0P025,SA0P02,SA0P01,PGA,PGV
1,0.0955,0.0941,0.103,0.0994,0.0941,0.0945,0.1032,0.0998,0.1116,0.1044,0.1009,0.1013,0.0921,0.0737,0.0683,0.1047,0.1068,0.0998,0.1069,0.1078,0.0987,0.0949,0.0935,0.1009,0.0976
2,0.0833,0.093,0.0846,0.0904,0.0617,0.0897,0.0706,0.0749,0.0721,0.0852,0.0841,0.0683,0.0585,0.0994,0.153,0.1175,0.1311,0.1315,0.1256,0.1316,0.1453,0.1176,0.1462,0.1606,0.0678
3,0.0837,0.079,0.0914,0.0935,0.0709,0.0783,0.0683,0.0684,0.0568,0.0844,0.0675,0.0732,0.0632,0.0892,0.0863,0.0723,0.0697,0.0965,0.088,0.0883,0.0996,0.0985,0.123,0.1151,0.0738
4,0.0904,0.0787,0.1071,0.1056,0.1037,0.0978,0.097,0.0922,0.086,0.0639,0.0785,0.0824,0.0739,0.0691,0.0834,0.0676,0.0651,0.0686,0.068,0.0673,0.0653,0.0704,0.0981,0.097,0.0756
5,0.0666,0.0617,0.0638,0.0673,0.0701,0.0679,0.0903,0.0917,0.0947,0.0953,0.0885,0.0733,0.0731,0.0456,0.0342,0.0677,0.0735,0.054,0.0579,0.0512,0.0396,0.0407,0.0472,0.0548,0.0702
6,0.0914,0.0898,0.0658,0.065,0.0847,0.0717,0.0884,0.0885,0.0889,0.082,0.077,0.0692,0.0965,0.1095,0.096,0.0553,0.0519,0.0559,0.06,0.0509,0.062,0.0666,0.033,0.0376,0.0916
7,0.0969,0.0993,0.0828,0.0776,0.099,0.0842,0.0941,0.0878,0.0893,0.0787,0.0889,0.1082,0.1198,0.102,0.0894,0.0725,0.0917,0.0649,0.0586,0.0627,0.0609,0.0643,0.0522,0.0507,0.098
8,0.0778,0.0822,0.0873,0.0844,0.0878,0.0922,0.0869,0.0794,0.0956,0.0849,0.0839,0.1023,0.1123,0.0876,0.055,0.0642,0.0506,0.0743,0.0784,0.0727,0.0838,0.0984,0.0629,0.0497,0.1054
9,0.0924,0.0991,0.1056,0.1114,0.09,0.1017,0.0743,0.0841,0.0808,0.0827,0.0918,0.0899,0.0774,0.0859,0.086,0.1075,0.0938,0.1136,0.1221,0.1205,0.1057,0.1064,0.1092,0.0986,0.0956
10,0.0204,0.0111,0.0047,0.0087,0.004,0.0127,0.0121,0.0116,0.0189,0.0384,0.0225,0.0171,0.0123,0.0281,0.0212,0.0254,0.019,0.0374,0.0298,0.0245,0.0278,0.0246,0.0372,0.0372,0.0108
11,0.0086,0.0072,0.0075,0.0077,0.0052,0.0058,0.0077,0.0096,0.012,0.0155,0.0155,0.0212,0.0185,0.0214,0.0056,0.0088,0.0008,0.0191,0.0087,0.0016,0.003,0.0147,0.0123,0.01,0.0197
12,0.0233,0.0224,0.0438,0.0375,0.0347,0.0233,0.0223,0.0278,0.0242,0.0201,0.0199,0.0359,0.0344,0.0293,0.0139,0.0175,0.0048,0.0178,0.0139,0.0055,0.0059,0.0174,0.0271,0.0167,0.0274
13,0.0196,0.0181,0.0183,0.0185,0.0245,0.0153,0.0287,0.0392,0.0243,0.0241,0.023,0.0182,0.0191,0.0176,0.0109,0.0158,0.0126,0.0117,0.0082,0.0057,0.0045,0.0098,0.0076,0.0119,0.0117
14,0.0516,0.0562,0.0395,0.036,0.053,0.0478,0.047,0.0416,0.0435,0.0411,0.0372,0.0214,0.0208,0.0366,0.063,0.082,0.098,0.0406,0.0473,0.0703,0.0648,0.0512,0.0368,0.0436,0.0257
15,0.0464,0.0514,0.0416,0.043,0.0577,0.0548,0.0545,0.0463,0.0469,0.045,0.0518,0.0355,0.0418,0.0368,0.0688,0.0649,0.08,0.043,0.0549,0.0758,0.0626,0.0466,0.0418,0.0504,0.0365
16,0.0202,0.0267,0.0263,0.0239,0.0352,0.0328,0.0318,0.028,0.0255,0.0239,0.0353,0.0532,0.0606,0.0328,0.0196,0.0179,0.0226,0.0268,0.0272,0.0236,0.0345,0.0419,0.0266,0.0282,0.0567
17,0.0319,0.03,0.0269,0.0301,0.0237,0.0295,0.0228,0.0291,0.0289,0.0304,0.0337,0.0294,0.0257,0.0354,0.0454,0.0384,0.028,0.0445,0.0445,0.04,0.036,0.036,0.0453,0.037,0.0359
