# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_WC94_mechA_ar1p0_seis0-15.ini
# Process start: 2015-11-03T09:35:18.413498
# Process finish: 2015-11-03T10:19:47.079883
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.090285,0.074196,0.061762,0.052288,0.045108,0.039832,0.036297,0.034131,0.032804,0.031982,0.031549,0.031393,0.031363,0.031361,0.031361,0.031361,0.031361,0.031361,0.031361,0.031361,0.031361
0.125893,0.107920,0.088111,0.072512,0.060481,0.051310,0.044365,0.039308,0.035964,0.033941,0.032757,0.032139,0.031913,0.031868,0.031866,0.031866,0.031866,0.031866,0.031866,0.031866,0.031866,0.031866
0.158489,0.129280,0.105277,0.086029,0.070898,0.059243,0.050359,0.043650,0.038806,0.035664,0.033859,0.032960,0.032631,0.032566,0.032562,0.032562,0.032562,0.032562,0.032562,0.032562,0.032562,0.032562
0.199526,0.154874,0.126098,0.102729,0.084018,0.069334,0.058035,0.049437,0.042960,0.038351,0.035523,0.034133,0.033644,0.033545,0.033539,0.033539,0.033539,0.033539,0.033539,0.033539,0.033539,0.033539
0.251189,0.185327,0.151072,0.123011,0.100251,0.082057,0.067808,0.056863,0.048542,0.042323,0.038104,0.035841,0.035019,0.034849,0.034835,0.034835,0.034835,0.034835,0.034835,0.034835,0.034835,0.034835
0.316228,0.221316,0.180820,0.147374,0.120008,0.097833,0.080143,0.066321,0.055721,0.047704,0.041935,0.038449,0.036976,0.036618,0.036581,0.036580,0.036580,0.036580,0.036580,0.036580,0.036580,0.036580
0.398107,0.263514,0.216011,0.176430,0.143772,0.117069,0.095466,0.078271,0.064869,0.054646,0.047164,0.042284,0.039828,0.039030,0.038897,0.038888,0.038888,0.038888,0.038888,0.038888,0.038888,0.038888
0.501187,0.312531,0.257315,0.210824,0.172134,0.140238,0.114195,0.093155,0.076440,0.063499,0.053922,0.047499,0.043894,0.042369,0.041946,0.041886,0.041883,0.041883,0.041883,0.041883,0.041883,0.041883
0.630957,0.368850,0.305361,0.251246,0.205751,0.167927,0.136795,0.111398,0.090893,0.074709,0.062552,0.054264,0.049378,0.046960,0.046026,0.045787,0.045758,0.045758,0.045758,0.045758,0.045758,0.045758
0.794328,0.432562,0.360662,0.298338,0.245310,0.200790,0.163830,0.133448,0.108655,0.088748,0.073509,0.062945,0.056551,0.053123,0.051497,0.050890,0.050750,0.050737,0.050737,0.050737,0.050737,0.050737
1.000000,0.502526,0.423386,0.352616,0.291450,0.239495,0.195941,0.159840,0.130164,0.106052,0.087269,0.073979,0.065735,0.061103,0.058679,0.057562,0.057172,0.057090,0.057085,0.057085,0.057085,0.057085
1.258925,0.575391,0.492628,0.414332,0.344715,0.284688,0.233800,0.191215,0.155928,0.127038,0.104274,0.087886,0.077454,0.071371,0.067975,0.066224,0.065455,0.065200,0.065150,0.065147,0.065147,0.065147
1.584893,0.645957,0.565368,0.482791,0.405410,0.336949,0.278070,0.228242,0.186576,0.152192,0.124872,0.104969,0.092056,0.084259,0.079668,0.077141,0.075907,0.075385,0.075216,0.075185,0.075184,0.075184
1.995262,0.709554,0.636570,0.555308,0.473038,0.396626,0.329330,0.271582,0.222786,0.182138,0.149503,0.125411,0.109491,0.099646,0.093630,0.090116,0.088281,0.087421,0.087058,0.086944,0.086924,0.086923
2.511886,0.763981,0.701328,0.627058,0.545248,0.463388,0.387976,0.321851,0.265222,0.217550,0.178833,0.149809,0.130259,0.117929,0.110196,0.105466,0.102840,0.101534,0.100928,0.100681,0.100608,0.100597
3.162278,0.809282,0.757055,0.692929,0.617443,0.535205,0.453840,0.379474,0.314508,0.259095,0.213526,0.178821,0.154970,0.139622,0.129827,0.123655,0.120044,0.118149,0.117230,0.116797,0.116616,0.116563
3.981072,0.846488,0.803559,0.749954,0.684364,0.607736,0.525184,0.444404,0.371108,0.307401,0.254201,0.212941,0.183972,0.164977,0.152681,0.144764,0.139935,0.137257,0.135896,0.135233,0.134916,0.134787
5.011872,0.876797,0.841808,0.797681,0.742676,0.675635,0.597940,0.515191,0.435081,0.362969,0.301516,0.252841,0.217850,0.194433,0.179087,0.169083,0.162791,0.159129,0.157188,0.156226,0.155753,0.155531
6.309573,0.901342,0.872995,0.836994,0.791643,0.735220,0.666745,0.588064,0.505234,0.425949,0.355970,0.299071,0.257059,0.228339,0.209298,0.196772,0.188737,0.183870,0.181159,0.179759,0.179060,0.178716
7.943282,0.921133,0.898270,0.869082,0.832044,0.785443,0.727583,0.657696,0.578115,0.495376,0.417769,0.352108,0.302038,0.266988,0.243457,0.227878,0.217752,0.211433,0.207757,0.205787,0.204780,0.204272
