# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_WC94_mechA_ar1p7_seis0-20.ini
# Process start: 2015-11-03T10:19:47.672925
# Process finish: 2015-11-03T11:03:50.671602
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.7, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000520,0.000449,0.000390,0.000344,0.000309,0.000284,0.000266,0.000254,0.000246,0.000240,0.000236,0.000234,0.000233,0.000232,0.000232,0.000232,0.000232,0.000232,0.000232,0.000232,0.000232
0.125893,0.000940,0.000810,0.000699,0.000608,0.000537,0.000484,0.000446,0.000419,0.000401,0.000388,0.000380,0.000374,0.000372,0.000370,0.000370,0.000370,0.000370,0.000370,0.000370,0.000370,0.000370
0.158489,0.001693,0.001464,0.001261,0.001088,0.000948,0.000840,0.000759,0.000701,0.000661,0.000633,0.000614,0.000601,0.000595,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592
0.199526,0.003021,0.002637,0.002279,0.001962,0.001695,0.001480,0.001313,0.001191,0.001103,0.001041,0.000998,0.000971,0.000956,0.000950,0.000949,0.000949,0.000949,0.000949,0.000949,0.000949,0.000949
0.251189,0.005323,0.004713,0.004108,0.003547,0.003054,0.002641,0.002309,0.002055,0.001867,0.001734,0.001640,0.001578,0.001545,0.001532,0.001529,0.001529,0.001529,0.001529,0.001529,0.001529,0.001529
0.316228,0.009218,0.008322,0.007352,0.006399,0.005521,0.004754,0.004116,0.003605,0.003215,0.002930,0.002727,0.002591,0.002514,0.002484,0.002478,0.002477,0.002477,0.002477,0.002477,0.002477,0.002477
0.398107,0.015603,0.014450,0.013007,0.011466,0.009965,0.008593,0.007402,0.006414,0.005629,0.005033,0.004599,0.004303,0.004131,0.004061,0.004044,0.004043,0.004043,0.004043,0.004043,0.004043,0.004043
0.501187,0.025643,0.024545,0.022643,0.020322,0.017878,0.015518,0.013375,0.011525,0.009999,0.008792,0.007882,0.007246,0.006867,0.006703,0.006659,0.006654,0.006654,0.006654,0.006654,0.006654,0.006654
0.630957,0.040594,0.040522,0.038592,0.035468,0.031744,0.027871,0.024164,0.020818,0.017947,0.015589,0.013739,0.012396,0.011572,0.011195,0.011081,0.011062,0.011060,0.011060,0.011060,0.011060,0.011060
0.794328,0.061363,0.064511,0.063989,0.060646,0.055533,0.049567,0.043444,0.037625,0.032404,0.027949,0.024317,0.021569,0.019806,0.018954,0.018664,0.018596,0.018585,0.018584,0.018584,0.018584,0.018584
1.000000,0.087806,0.098186,0.102429,0.100981,0.095255,0.086912,0.077384,0.067705,0.058572,0.050435,0.043540,0.038117,0.034462,0.032573,0.031858,0.031650,0.031598,0.031590,0.031590,0.031590,0.031590
1.258925,0.117882,0.141639,0.156946,0.162514,0.159252,0.149529,0.135985,0.120781,0.105488,0.091172,0.078519,0.068167,0.060873,0.056839,0.055146,0.054566,0.054384,0.054339,0.054334,0.054334,0.054334
1.584893,0.147198,0.191970,0.228213,0.250639,0.257618,0.250982,0.234647,0.212698,0.188457,0.164326,0.141942,0.122838,0.108792,0.100555,0.096750,0.095273,0.094739,0.094571,0.094533,0.094529,0.094529
1.995262,0.170599,0.242252,0.312173,0.367273,0.399870,0.408068,0.395339,0.368049,0.332558,0.293978,0.256007,0.222049,0.195986,0.179898,0.171841,0.168329,0.166911,0.166393,0.166234,0.166204,0.166202
2.511886,0.185768,0.283521,0.398009,0.506915,0.590414,0.637330,0.645888,0.622368,0.577016,0.519786,0.458594,0.400701,0.354200,0.324060,0.307870,0.300113,0.296665,0.295286,0.294786,0.294641,0.294619
