# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_WC94_mechN_ar1p7_seis0-20.ini
# Process start: 2015-11-03T11:11:57.602668
# Process finish: 2015-11-03T11:25:38.800751
# rup_dim_model = WC94, mech = N, LW = False, AR = 1.7, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000230,0.000191,0.000161,0.000139,0.000124,0.000113,0.000106,0.000102,0.000101,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100
0.125893,0.000440,0.000363,0.000301,0.000254,0.000220,0.000196,0.000179,0.000168,0.000162,0.000160,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159
0.158489,0.000844,0.000694,0.000572,0.000475,0.000401,0.000348,0.000310,0.000284,0.000266,0.000257,0.000253,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252
0.199526,0.001614,0.001331,0.001094,0.000902,0.000750,0.000634,0.000549,0.000490,0.000449,0.000422,0.000407,0.000401,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400
0.251189,0.003070,0.002547,0.002099,0.001726,0.001424,0.001184,0.001001,0.000868,0.000775,0.000710,0.000668,0.000645,0.000636,0.000634,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633
0.316228,0.005775,0.004844,0.004017,0.003311,0.002723,0.002246,0.001868,0.001580,0.001371,0.001225,0.001123,0.001057,0.001023,0.001010,0.001008,0.001008,0.001008,0.001008,0.001008,0.001008,0.001008
0.398107,0.010689,0.009115,0.007643,0.006338,0.005222,0.004295,0.003543,0.002948,0.002495,0.002167,0.001936,0.001779,0.001683,0.001640,0.001628,0.001627,0.001627,0.001627,0.001627,0.001627,0.001627
0.501187,0.019325,0.016880,0.014387,0.012059,0.009998,0.008238,0.006776,0.005590,0.004652,0.003939,0.003424,0.003068,0.002844,0.002732,0.002695,0.002689,0.002689,0.002689,0.002689,0.002689,0.002689
0.630957,0.033774,0.030539,0.026656,0.022707,0.019027,0.015772,0.012994,0.010688,0.008818,0.007341,0.006220,0.005424,0.004921,0.004669,0.004583,0.004567,0.004566,0.004566,0.004566,0.004566,0.004566
0.794328,0.056399,0.053425,0.048259,0.042093,0.035841,0.030022,0.024881,0.020496,0.016859,0.013912,0.011587,0.009854,0.008723,0.008157,0.007967,0.007933,0.007931,0.007931,0.007931,0.007931,0.007931
1.000000,0.089249,0.089326,0.084506,0.076259,0.066469,0.056569,0.047370,0.039250,0.032330,0.026593,0.021952,0.018350,0.015873,0.014568,0.014118,0.014038,0.014033,0.014032,0.014032,0.014032,0.014032
1.258925,0.133666,0.141551,0.141473,0.133668,0.120501,0.104960,0.089284,0.074741,0.061918,0.050996,0.041956,0.034751,0.029566,0.026626,0.025506,0.025276,0.025260,0.025260,0.025260,0.025260,0.025260
1.584893,0.189466,0.212288,0.224495,0.224055,0.211426,0.190407,0.165739,0.140917,0.117929,0.097675,0.080452,0.066389,0.055926,0.049606,0.046902,0.046211,0.046130,0.046128,0.046128,0.046128,0.046128
1.995262,0.251885,0.301337,0.337139,0.356029,0.354830,0.334406,0.300862,0.261709,0.222406,0.186068,0.154102,0.127279,0.106727,0.093681,0.087501,0.085574,0.085237,0.085217,0.085217,0.085217,0.085217
2.511886,0.309592,0.401321,0.479258,0.535406,0.564610,0.561922,0.528898,0.475389,0.413240,0.351015,0.293616,0.243784,0.204453,0.178436,0.165053,0.160106,0.158918,0.158781,0.158777,0.158777,0.158777
3.162278,0.351561,0.494296,0.639401,0.762178,0.850234,0.895363,0.889855,0.836473,0.751146,0.652489,0.554064,0.464487,0.391283,0.341060,0.313521,0.301840,0.298253,0.297610,0.297573,0.297574,0.297574
3.981072,0.376604,0.562314,0.789154,1.018673,1.212063,1.350147,1.419836,1.409112,1.322884,1.186841,1.030344,0.876544,0.744766,0.650918,0.596781,0.571288,0.561834,0.559531,0.559298,0.559293,0.559293
5.011872,0.391294,0.603039,0.899377,1.259839,1.622865,1.927469,2.143888,2.251465,2.231279,2.092111,1.875345,1.630219,1.403940,1.235068,1.133084,1.081155,1.058782,1.051868,1.050744,1.050700,1.050702
6.309573,0.400731,0.626875,0.965602,1.438447,2.011179,2.585249,3.065031,3.404158,3.570088,3.532993,3.308716,2.967752,2.607169,2.318152,2.134958,2.035625,1.987616,1.969880,1.966060,1.965842,1.965848
7.943282,0.407102,0.642162,1.004281,1.546123,2.300543,3.210511,4.118084,4.873782,5.405173,5.660748,5.593836,5.237327,4.735547,4.278961,3.969290,3.791230,3.697750,3.657850,3.647065,3.645899,3.645941
10.000000,0.411516,0.652473,1.029044,1.608889,2.475608,3.679204,5.124818,6.559638,7.749494,8.582138,8.974363,8.854858,8.328223,7.703397,7.226893,6.933309,6.767383,6.687975,6.662988,6.660103,6.660768
12.589254,0.414637,0.659614,1.045733,1.649000,2.577466,3.963807,5.883843,8.180190,10.448429,12.321420,13.622441,14.199622,14.000410,13.364231,12.747244,12.321167,12.060845,11.926664,11.880366,11.875609,11.878243
15.848932,0.416878,0.664659,1.057283,1.676012,2.642441,4.129105,6.346516,9.409304,13.056299,16.641845,19.581906,21.540799,22.297131,22.093806,21.553845,21.072467,20.740024,20.553572,20.486198,20.487510,20.502023
19.952623,0.418507,0.668282,1.065441,1.694696,2.686163,4.234360,6.614773,10.161334,15.046629,20.838418,26.493772,30.997038,33.724480,34.772451,34.851408,34.606864,34.337005,34.162959,34.114866,34.155908,34.208443
25.118864,0.419708,0.670913,1.071296,1.707887,2.716387,4.305128,6.785282,10.596683,16.268874,24.060663,33.248880,42.063382,48.681549,52.556293,54.369070,55.053520,55.227595,55.271064,55.345219,55.487665,55.640980
31.622777,0.420619,0.672854,1.075549,1.717351,2.737716,4.354020,6.899831,10.872909,16.975434,26.046918,38.475276,53.056211,66.740635,76.885011,83.016710,86.208475,87.698275,88.412475,88.859165,89.268184,89.653461
39.810717,0.421332,0.674324,1.078682,1.724223,2.753013,4.388509,6.978923,11.058326,17.422934,27.193662,41.734206,61.902269,85.803093,108.153421,124.210908,133.529788,138.288790,140.708546,142.101571,143.079205,143.879881
50.118723,0.421898,0.675473,1.081055,1.729284,2.764116,4.413234,7.034689,11.186275,17.723067,27.918653,43.665002,68.149468,103.795080,145.420988,180.996537,203.957754,216.265861,222.637682,226.153284,228.377700,230.046742
63.095734,0.422349,0.676386,1.082909,1.733113,2.772291,4.431176,7.074655,11.276446,17.930054,28.404486,44.892424,72.314285,119.552729,186.833685,255.522934,305.807403,334.791903,349.977210,358.252439,363.195303,366.536672
79.432823,0.422708,0.677113,1.084380,1.736102,2.778470,4.444379,7.103648,11.341047,18.075860,28.739341,45.709295,75.134085,132.829342,230.576842,348.650431,448.158110,511.505743,545.926175,564.514729,575.143522,581.901352
100.000000,0.422993,0.677691,1.085552,1.738475,2.783291,4.454351,7.124973,11.387898,18.180281,28.975108,46.271893,77.012339,142.578582,271.676180,455.725235,637.428323,768.006615,843.781831,884.592347,907.494475,921.344710
125.892541,0.423220,0.678151,1.086485,1.740365,2.787118,4.462126,7.141066,11.422341,18.255990,29.143896,46.668198,78.291274,149.459546,307.542407,570.884584,876.340989,1128.377121,1288.726565,1377.288379,1426.075018,1454.431945
158.489319,0.423400,0.678517,1.087226,1.741868,2.790164,4.468296,7.153606,11.448315,18.311623,29.266238,46.952191,79.195390,154.211149,334.940852,681.497695,1154.455017,1610.581632,1936.404324,2126.650833,2230.571583,2289.725541
199.526231,0.423543,0.678807,1.087816,1.743064,2.792588,4.473208,7.163555,11.468538,18.353543,29.356100,47.158287,79.848123,157.519760,354.577110,778.963532,1455.654653,2222.508697,2849.179069,3247.335998,3468.892012,3592.164035
251.188643,0.423657,0.679038,1.088284,1.744014,2.794516,4.477117,7.171475,11.484580,18.386160,29.423757,47.309845,80.326489,159.912580,368.407304,855.011951,1749.090675,2941.534783,4076.987686,4883.025332,5354.146632,5613.502184
316.227766,0.423747,0.679222,1.088657,1.744770,2.796049,4.480226,7.177777,11.497351,18.412026,29.476363,47.423980,80.681711,161.678652,378.142653,909.763916,2009.110659,3724.566033,5643.135870,7196.888424,8180.647468,8729.651541
398.107171,0.423819,0.679368,1.088953,1.745370,2.797267,4.482697,7.182790,11.507513,18.432618,29.518070,47.512659,80.950865,163.002542,385.251804,948.642994,2214.779039,4495.640683,7497.262424,10324.499421,12318.829356,13483.413993
501.187234,0.423876,0.679483,1.089188,1.745848,2.798236,4.484662,7.186776,11.515596,18.449004,29.551273,47.582893,81.159625,164.010072,390.550954,976.082287,2363.093846,5181.350897,9523.760114,14327.190543,18186.198598,20620.795930
630.957344,0.423922,0.679576,1.089375,1.746227,2.799005,4.486224,7.189944,11.522022,18.462037,29.577694,47.638762,81.323821,164.787467,394.561480,996.155865,2468.824816,5729.604300,11535.981272,19091.526065,26140.511298,31083.966252
794.328235,0.423958,0.679649,1.089523,1.746528,2.799617,4.487464,7.192462,11.527131,18.472399,29.598709,47.683206,81.453816,165.393613,397.632579,1011.144258,2543.406131,6125.464815,13331.366647,24315.565868,36347.891685,45943.070337
1000.000000,0.423986,0.679707,1.089641,1.746767,2.800102,4.488450,7.194462,11.531191,18.480636,29.615418,47.718549,81.556990,165.869780,400.007563,1022.498008,2597.900975,6408.417688,14780.617164,29542.573395,48559.734501,66145.733898
