# Process start: 2015-11-02T11:55:27.788288
# Process finish: 2015-11-02T21:39:56.338982
# rup_dim_model = S14, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,74.606818,73.820748,72.800647,71.485214,69.802635,67.673245,65.018131,61.783993,58.029088,54.054583,49.620857,44.443422,39.706158,38.011118,39.185341,41.351139,42.943853,44.136560,45.031907,45.639159,45.935850
0.125893,59.265845,58.641083,57.830473,56.785314,55.448556,53.756917,51.647713,49.078608,46.095888,42.938774,39.416945,35.304453,31.541674,30.195383,31.128146,32.848497,34.113633,35.061032,35.772231,36.254589,36.490259
0.158489,47.081021,46.584296,45.940009,45.109463,44.047336,42.703357,41.027734,38.986843,36.617461,34.109602,31.312092,28.045476,25.056722,23.987430,24.728388,26.094908,27.099838,27.852382,28.417307,28.800456,28.987656
0.199526,37.403474,37.008331,36.496053,35.835889,34.991826,33.923930,32.592649,30.971281,29.089051,27.096886,24.874693,22.279937,19.905970,19.056681,19.645276,20.730735,21.528976,22.126741,22.575475,22.879821,23.028519
0.251189,29.717869,29.403256,28.995698,28.470752,27.799800,26.951111,25.893269,24.605072,23.109751,21.527185,19.761956,17.700843,15.815179,15.140620,15.608178,16.470381,17.104442,17.579261,17.935702,18.177451,18.295566
0.316228,23.614964,23.364110,23.039552,22.621855,22.088271,21.413586,20.572840,19.549203,18.361152,17.103894,15.701599,14.064314,12.566469,12.030671,12.402077,13.086940,13.590587,13.967746,14.250875,14.442903,14.536724
0.398107,18.769830,18.569345,18.310474,17.977757,17.553107,17.016481,16.348047,15.534447,14.590385,13.591471,12.477406,11.176716,9.986877,9.561280,9.856303,10.400297,10.800352,11.099936,11.324831,11.477363,11.551888
0.501187,14.924545,14.763709,14.556694,14.291199,13.952835,13.525665,12.993928,12.347023,11.596665,10.802884,9.917698,8.884294,7.939050,7.600957,7.835300,8.267397,8.585163,8.823127,9.001764,9.122923,9.182119
0.630957,11.874448,11.744661,11.578409,11.365937,11.095790,10.755286,10.331898,9.817216,9.220585,8.589653,7.886189,7.065011,6.313982,6.045339,6.231444,6.574640,6.827042,7.016056,7.157950,7.254188,7.301209
0.794328,9.457175,9.351566,9.217156,9.046303,8.829910,8.557879,8.220245,7.810343,7.335643,6.833946,6.274749,5.622077,5.025240,4.811661,4.959369,5.231910,5.432386,5.582518,5.695224,5.771666,5.809015
