# Process start: 2015-11-03T04:04:55.423998
# Process finish: 2015-11-03T07:10:43.419985
# rup_dim_model = S14, mech = SS, LW = False, AR = 1.0, ndip = 7, mindip = 1.047198, maxdip = 1.570796, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,19.384942,18.688502,17.783228,16.619733,15.149473,13.340150,11.208759,8.882396,6.633530,4.671469,3.246346,2.617244,2.551461,2.597773,2.603807,2.603807,2.603807,2.603807,2.603807,2.603807,2.603807
0.125893,19.379065,18.683463,17.778956,16.616163,15.146545,13.337816,11.206989,8.881181,6.632865,4.671359,3.246742,2.617973,2.552328,2.598672,2.604707,2.604707,2.604707,2.604707,2.604707,2.604707,2.604707
0.158489,19.370071,18.675662,17.772271,16.610525,15.141895,13.334102,11.204178,8.879255,6.631813,4.671190,3.247381,2.619152,2.553732,2.600127,2.606167,2.606167,2.606167,2.606167,2.606167,2.606167,2.606167
0.199526,19.356383,18.663653,17.761871,16.601669,15.134536,13.328202,11.199708,8.876197,6.630148,4.670924,3.248394,2.621017,2.555950,2.602428,2.608474,2.608474,2.608474,2.608474,2.608474,2.608474,2.608474
0.251189,19.335656,18.645257,17.745782,16.587842,15.122947,13.318854,11.192606,8.871337,6.627501,4.670478,3.249930,2.623855,2.559321,2.605918,2.611973,2.611973,2.611973,2.611973,2.611973,2.611973,2.611973
0.316228,19.304391,18.617205,17.721008,16.566373,15.104812,13.304116,11.181350,8.863619,6.623301,4.669793,3.252425,2.628453,2.564786,2.611581,2.617651,2.617651,2.617651,2.617651,2.617651,2.617651,2.617651
0.398107,19.257343,18.574623,17.683046,16.533203,15.076593,13.281027,11.163602,8.851392,6.616631,4.668704,3.256395,2.635769,2.573483,2.620596,2.626691,2.626691,2.626691,2.626691,2.626691,2.626691,2.626691
0.501187,19.186565,18.510246,17.625207,16.482252,15.032936,13.245084,11.135809,8.832131,6.606060,4.666934,3.262629,2.647301,2.587204,2.634821,2.640954,2.640954,2.640954,2.640954,2.640954,2.640954,2.640954
0.630957,19.080089,18.413209,17.537633,16.404572,14.965901,13.189542,11.092618,8.802035,6.589439,4.664111,3.272457,2.665553,2.608966,2.657412,2.663618,2.663620,2.663620,2.663620,2.663620,2.663620,2.663620
0.794328,18.920492,18.267487,17.405894,16.287195,14.863959,13.104548,11.026168,8.755509,6.563598,4.659633,3.287731,2.694080,2.643095,2.692923,2.699280,2.699286,2.699286,2.699286,2.699286,2.699286,2.699286
